['collagen', [24429, 24437]]
['collagen', [24726, 24734]]
['collagen', [24810, 24818]]
['collagen', [24908, 24916]]
['collagen', [25005, 25013]]
['collagen', [25040, 25048]]
['collagen', [25088, 25096]]
['collagen', [25115, 25123]]
['collagen', [25186, 25194]]
['collagen', [25206, 25214]]
['collagen', [25250, 25258]]
['collagen', [25618, 25626]]
['collagen', [25842, 25850]]
['collagen', [25883, 25891]]
['collagen', [25940, 25948]]
['collagen', [25986, 25994]]
['collagen', [26002, 26010]]
['collagen', [26046, 26054]]
['collagen', [26240, 26248]]
['collagen', [26537, 26545]]
['collagen', [26621, 26629]]
['collagen', [26719, 26727]]
['collagen', [26816, 26824]]
['collagen', [26851, 26859]]
['collagen', [26899, 26907]]
['collagen', [26926, 26934]]
['collagen', [26997, 27005]]
['collagen', [27017, 27025]]
['collagen', [27061, 27069]]
['collagen', [29896, 29904]]
['collagen', [30068, 30076]]
['collagen', [30120, 30128]]
['collagen', [30219, 30227]]
['collagen', [30318, 30326]]
['collagen', [30707, 30715]]
['collagen', [30979, 30987]]
['collagen', [31102, 31110]]
['collagen', [31138, 31146]]
['collagen', [31200, 31208]]
['collagen', [31754, 31762]]
['collagen', [31853, 31861]]
['collagen', [31952, 31960]]
['collagen', [32341, 32349]]
['collagen', [32613, 32621]]
['collagen', [32736, 32744]]
['collagen', [32772, 32780]]
['collagen', [32835, 32843]]
['collagen', [33491, 33499]]
['collagen', [34131, 34139]]
['collagen', [34949, 34957]]
['collagen', [36748, 36756]]
['collagen', [37168, 37176]]
['collagen', [37481, 37489]]
['collagen', [37576, 37584]]
['collagen', [37630, 37638]]
['collagen', [37739, 37747]]
['collagen', [37861, 37869]]
['collagen', [37954, 37962]]
['collagen', [38041, 38049]]
['collagen', [38151, 38159]]
['collagen', [40710, 40718]]
['collagen', [41375, 41383]]
['collagen', [41444, 41452]]
['collagen', [41494, 41502]]
['collagen', [41555, 41563]]
['collagen', [41705, 41713]]
['collagen', [41749, 41757]]
['collagen', [41883, 41891]]
['collagen', [41994, 42002]]
['collagen', [42113, 42121]]
['collagen', [42214, 42222]]
['collagen', [42284, 42292]]
['collagen', [42471, 42479]]
['collagen', [42542, 42550]]
['collagen', [42684, 42692]]
['collagen', [42771, 42779]]
['collagen', [42916, 42924]]
['collagen', [44713, 44721]]
['collagen', [45026, 45034]]
['collagen', [45121, 45129]]
['collagen', [45175, 45183]]
['collagen', [45284, 45292]]
['collagen', [45406, 45414]]
['collagen', [45499, 45507]]
['collagen', [45586, 45594]]
['collagen', [45696, 45704]]
['collagen', [48255, 48263]]
['collagen', [48920, 48928]]
['collagen', [48989, 48997]]
['collagen', [49039, 49047]]
['collagen', [49100, 49108]]
['collagen', [49250, 49258]]
['collagen', [49294, 49302]]
['collagen', [49428, 49436]]
['collagen', [49539, 49547]]
['collagen', [49658, 49666]]
['collagen', [49759, 49767]]
['collagen', [49829, 49837]]
['collagen', [50016, 50024]]
['collagen', [50087, 50095]]
['collagen', [50229, 50237]]
['collagen', [50316, 50324]]
['collagen', [50461, 50469]]
['collagen', [52250, 52258]]
['collagen', [52563, 52571]]
['collagen', [52658, 52666]]
['collagen', [52712, 52720]]
['collagen', [52821, 52829]]
['collagen', [52943, 52951]]
['collagen', [53036, 53044]]
['collagen', [53123, 53131]]
['collagen', [53233, 53241]]
['collagen', [55118, 55126]]
['collagen', [55431, 55439]]
['collagen', [55526, 55534]]
['collagen', [55580, 55588]]
['collagen', [55689, 55697]]
['collagen', [55811, 55819]]
['collagen', [55904, 55912]]
['collagen', [55991, 55999]]
['collagen', [56101, 56109]]
['collagen', [57951, 57959]]
['collagen', [58275, 58283]]
['collagen', [58589, 58597]]
['collagen', [58684, 58692]]
['collagen', [58738, 58746]]
['collagen', [58847, 58855]]
['collagen', [58969, 58977]]
['collagen', [59063, 59071]]
['collagen', [59158, 59166]]
['collagen', [59212, 59220]]
['collagen', [59321, 59329]]
['collagen', [59443, 59451]]
['collagen', [59537, 59545]]
['collagen', [59624, 59632]]
['collagen', [59734, 59742]]
['collagen', [59798, 59806]]
['collagen', [59885, 59893]]
['collagen', [59995, 60003]]
['collagen', [64339, 64347]]
['collagen', [65004, 65012]]
['collagen', [65073, 65081]]
['collagen', [65123, 65131]]
['collagen', [65184, 65192]]
['collagen', [65334, 65342]]
['collagen', [65378, 65386]]
['collagen', [65512, 65520]]
['collagen', [65623, 65631]]
['collagen', [65742, 65750]]
['collagen', [65843, 65851]]
['collagen', [65913, 65921]]
['collagen', [66100, 66108]]
['collagen', [66171, 66179]]
['collagen', [66313, 66321]]
['collagen', [66400, 66408]]
['collagen', [66545, 66553]]
['collagen', [69009, 69017]]
['collagen', [69674, 69682]]
['collagen', [69743, 69751]]
['collagen', [69793, 69801]]
['collagen', [69854, 69862]]
['collagen', [70004, 70012]]
['collagen', [70048, 70056]]
['collagen', [70182, 70190]]
['collagen', [70293, 70301]]
['collagen', [70412, 70420]]
['collagen', [70513, 70521]]
['collagen', [70583, 70591]]
['collagen', [70770, 70778]]
['collagen', [70841, 70849]]
['collagen', [70983, 70991]]
['collagen', [71070, 71078]]
['collagen', [71215, 71223]]
['collagen', [73485, 73493]]
['collagen', [74161, 74169]]
['collagen', [74827, 74835]]
['collagen', [74896, 74904]]
['collagen', [74946, 74954]]
['collagen', [75007, 75015]]
['collagen', [75157, 75165]]
['collagen', [75201, 75209]]
['collagen', [75335, 75343]]
['collagen', [75446, 75454]]
['collagen', [75565, 75573]]
['collagen', [75666, 75674]]
['collagen', [75736, 75744]]
['collagen', [75923, 75931]]
['collagen', [75994, 76002]]
['collagen', [76137, 76145]]
['collagen', [76206, 76214]]
['collagen', [76256, 76264]]
['collagen', [76317, 76325]]
['collagen', [76467, 76475]]
['collagen', [76511, 76519]]
['collagen', [76645, 76653]]
['collagen', [76756, 76764]]
['collagen', [76875, 76883]]
['collagen', [76976, 76984]]
['collagen', [77046, 77054]]
['collagen', [77233, 77241]]
['collagen', [77304, 77312]]
['collagen', [77447, 77455]]
['collagen', [77534, 77542]]
['collagen', [77679, 77687]]
['collagen', [77839, 77847]]
['collagen', [77926, 77934]]
['collagen', [78071, 78079]]
['collagen', [81612, 81620]]
['collagen', [81756, 81764]]
['collagen', [81900, 81908]]
['collagen', [82067, 82075]]
['collagen', [82130, 82138]]
['collagen', [82284, 82292]]
['collagen', [82365, 82373]]
['collagen', [82435, 82443]]
['collagen', [82650, 82658]]
['collagen', [82696, 82704]]
['collagen', [82856, 82864]]
['collagen', [83007, 83015]]
['collagen', [83043, 83051]]
['collagen', [83271, 83279]]
['collagen', [83321, 83329]]
['collagen', [83533, 83541]]
['collagen', [83874, 83882]]
['collagen', [84077, 84085]]
['collagen', [84292, 84300]]
['collagen', [84355, 84363]]
['collagen', [84547, 84555]]
['collagen', [84610, 84618]]
['collagen', [84758, 84766]]
['collagen', [84858, 84866]]
['collagen', [84921, 84929]]
['collagen', [85047, 85055]]
['collagen', [85057, 85065]]
['collagen', [85106, 85114]]
['collagen', [85222, 85230]]
['collagen', [85477, 85485]]
