['population', [5524, 5534]]
['population', [7302, 7312]]
['population', [7852, 7862]]
['population', [15191, 15201]]
['population', [16920, 16930]]
['population', [38304, 38314]]
['population', [43190, 43200]]
['population', [46362, 46372]]
['population', [46502, 46512]]
['population', [47168, 47178]]
['population', [48690, 48700]]
['population', [53923, 53933]]
['population', [58809, 58819]]
['population', [61981, 61991]]
['population', [62121, 62131]]
['population', [62787, 62797]]
['population', [64309, 64319]]
['harmful', [4819, 4826]]
['products', [4827, 4835]]
['products', [66541, 66549]]
['products', [84660, 84668]]
['ses', [6512, 6515]]
['ses', [7597, 7600]]
['ses', [7680, 7683]]
['ses', [8919, 8922]]
['ses', [9094, 9097]]
['ses', [9774, 9777]]
['ses', [13394, 13397]]
['ses', [13433, 13436]]
['ses', [14204, 14207]]
['ses', [15929, 15932]]
['ses', [17658, 17661]]
['ses', [36642, 36645]]
['ses', [52261, 52264]]
['ses', [69116, 69119]]
['ses', [87235, 87238]]
['mesa', [6838, 6842]]
['mesa', [6953, 6957]]
['mesa', [7358, 7362]]
['mesa', [11046, 11050]]
['mesa', [11698, 11702]]
['mesa', [12730, 12734]]
['mesa', [13037, 13041]]
['mesa', [14107, 14111]]
['mesa', [14127, 14131]]
['mesa', [14165, 14169]]
['mesa', [14368, 14372]]
['mesa', [14467, 14471]]
['mesa', [16383, 16387]]
['mesa', [18112, 18116]]
['mesa', [39775, 39779]]
['mesa', [39915, 39919]]
['mesa', [44834, 44838]]
['mesa', [46205, 46209]]
['mesa', [46420, 46424]]
['mesa', [46811, 46815]]
['mesa', [46967, 46971]]
['mesa', [47319, 47323]]
['mesa', [47463, 47467]]
['mesa', [47497, 47501]]
['mesa', [47710, 47714]]
['mesa', [47852, 47856]]
['mesa', [47872, 47876]]
['mesa', [47944, 47948]]
['mesa', [48583, 48587]]
['mesa', [55394, 55398]]
['mesa', [55534, 55538]]
['mesa', [60453, 60457]]
['mesa', [61824, 61828]]
['mesa', [62039, 62043]]
['mesa', [62430, 62434]]
['mesa', [62586, 62590]]
['mesa', [62938, 62942]]
['mesa', [63082, 63086]]
['mesa', [63116, 63120]]
['mesa', [63329, 63333]]
['mesa', [63471, 63475]]
['mesa', [63491, 63495]]
['mesa', [63563, 63567]]
['mesa', [64202, 64206]]
['mesa', [66173, 66177]]
['mesa', [69199, 69203]]
['mesa', [84292, 84296]]
['mesa', [87318, 87322]]
['risk', [6877, 6881]]
['risk', [8623, 8627]]
['factors', [6384, 6391]]
['factors', [6882, 6889]]
['factors', [35282, 35289]]
['factors', [41263, 41270]]
['factors', [41722, 41729]]
['factors', [44058, 44065]]
['factors', [44130, 44137]]
['factors', [50901, 50908]]
['factors', [56882, 56889]]
['factors', [57341, 57348]]
['factors', [59677, 59684]]
['factors', [59749, 59756]]
['120-item', [7692, 7700]]
['food', [1136, 1140]]
['food', [1315, 1319]]
['food', [1714, 1718]]
['food', [4526, 4530]]
['food', [6602, 6606]]
['food', [7701, 7705]]
['food', [7956, 7960]]
['food', [8095, 8099]]
['food', [8785, 8789]]
['food', [12778, 12782]]
['food', [19823, 19827]]
['food', [20483, 20487]]
['food', [20776, 20780]]
['food', [21211, 21215]]
['food', [24998, 25002]]
['food', [25193, 25197]]
['food', [25352, 25356]]
['food', [27740, 27744]]
['food', [28400, 28404]]
['food', [28693, 28697]]
['food', [29128, 29132]]
['food', [32915, 32919]]
['food', [33110, 33114]]
['food', [33269, 33273]]
['food', [34183, 34187]]
['food', [34588, 34592]]
['food', [36755, 36759]]
['food', [36961, 36965]]
['food', [37062, 37066]]
['food', [40186, 40190]]
['food', [40368, 40372]]
['food', [40458, 40462]]
['food', [40707, 40711]]
['food', [40739, 40743]]
['food', [40876, 40880]]
['food', [49802, 49806]]
['food', [50207, 50211]]
['food', [52374, 52378]]
['food', [52580, 52584]]
['food', [52681, 52685]]
['food', [55805, 55809]]
['food', [55987, 55991]]
['food', [56077, 56081]]
['food', [56326, 56330]]
['food', [56358, 56362]]
['food', [56495, 56499]]
['food', [65713, 65717]]
['food', [65740, 65744]]
['food', [66368, 66372]]
['food', [66405, 66409]]
['food', [72436, 72440]]
['food', [80643, 80647]]
['food', [81492, 81496]]
['food', [83832, 83836]]
['food', [83859, 83863]]
['food', [84487, 84491]]
['food', [84524, 84528]]
['food', [90555, 90559]]
['food', [98762, 98766]]
['food', [99611, 99615]]
['frequency', [7706, 7715]]
['frequency', [72993, 73002]]
['frequency', [91112, 91121]]
['questionnaire', [7716, 7729]]
['questionnaire', [8962, 8975]]
['questionnaire', [12699, 12712]]
['multi-ethnic', [51, 63]]
['multi-ethnic', [5511, 5523]]
['multi-ethnic', [7839, 7851]]
['multi-ethnic', [37584, 37596]]
['multi-ethnic', [53203, 53215]]
['populations', [7852, 7863]]
['populations', [48690, 48701]]
['populations', [64309, 64320]]
['ffq', [7731, 7734]]
['ffq', [7920, 7923]]
['principal', [8017, 8026]]
['principal', [34023, 34032]]
['principal', [49642, 49651]]
['factor', [6384, 6390]]
['factor', [6882, 6888]]
['factor', [8027, 8033]]
['factor', [8053, 8059]]
['factor', [8179, 8185]]
['factor', [8690, 8696]]
['factor', [8829, 8835]]
['factor', [21874, 21880]]
['factor', [22318, 22324]]
['factor', [29791, 29797]]
['factor', [30235, 30241]]
['factor', [35282, 35288]]
['factor', [41263, 41269]]
['factor', [41722, 41728]]
['factor', [44058, 44064]]
['factor', [44130, 44136]]
