['ed', [3103, 3105]]
['ed', [3131, 3133]]
['ed', [3181, 3183]]
['ed', [3259, 3261]]
['ed', [3274, 3276]]
['ed', [3307, 3309]]
['ed', [3311, 3313]]
['ed', [3370, 3372]]
['ed', [3405, 3407]]
['ed', [3439, 3441]]
['ed', [3521, 3523]]
['ed', [3532, 3534]]
['ed', [3610, 3612]]
['ed', [3702, 3704]]
['ed', [3848, 3850]]
['ed', [3904, 3906]]
['ed', [3941, 3943]]
['ed', [3967, 3969]]
['ed', [4050, 4052]]
['ed', [4071, 4073]]
['ed', [4089, 4091]]
['ed', [4170, 4172]]
['ed', [4252, 4254]]
['ed', [4278, 4280]]
['ed', [4300, 4302]]
['ed', [4385, 4387]]
['ed', [4451, 4453]]
['ed', [4565, 4567]]
['ed', [4603, 4605]]
['ed', [4662, 4664]]
['ed', [4762, 4764]]
['ed', [4876, 4878]]
['ed', [5018, 5020]]
['ed', [5044, 5046]]
['ed', [5196, 5198]]
['ed', [5238, 5240]]
['ed', [5387, 5389]]
['ed', [5479, 5481]]
['ed', [5614, 5616]]
['ed', [5660, 5662]]
['ed', [5741, 5743]]
['ed', [5750, 5752]]
['ed', [5771, 5773]]
['ed', [5848, 5850]]
['ed', [6193, 6195]]
['ed', [6343, 6345]]
['ed', [6377, 6379]]
['ed', [6526, 6528]]
['ed', [6607, 6609]]
['ed', [6617, 6619]]
['ed', [6645, 6647]]
['ed', [6695, 6697]]
['ed', [6773, 6775]]
['ed', [6788, 6790]]
['ed', [6821, 6823]]
['ed', [6825, 6827]]
['ed', [6884, 6886]]
['ed', [6919, 6921]]
['ed', [6953, 6955]]
['ed', [7035, 7037]]
['ed', [7046, 7048]]
['ed', [7124, 7126]]
['ed', [7216, 7218]]
['ed', [7362, 7364]]
['ed', [7418, 7420]]
['ed', [7456, 7458]]
['ed', [7482, 7484]]
['ed', [7565, 7567]]
['ed', [7586, 7588]]
['ed', [7604, 7606]]
['ed', [7685, 7687]]
['ed', [7767, 7769]]
['ed', [7793, 7795]]
['ed', [7815, 7817]]
['ed', [7900, 7902]]
['ed', [7966, 7968]]
['ed', [8080, 8082]]
['ed', [8118, 8120]]
['ed', [8177, 8179]]
['ed', [8336, 8338]]
['ed', [8400, 8402]]
['ed', [8461, 8463]]
['ed', [8496, 8498]]
['ed', [8551, 8553]]
['ed', [8603, 8605]]
['ed', [8721, 8723]]
['ed', [9003, 9005]]
['ed', [9095, 9097]]
['ed', [9374, 9376]]
['ed', [9454, 9456]]
['ed', [9484, 9486]]
['ed', [9548, 9550]]
['ed', [9592, 9594]]
['ed', [9733, 9735]]
['ed', [9768, 9770]]
['ed', [9772, 9774]]
['ed', [9853, 9855]]
['ed', [9912, 9914]]
['ed', [9959, 9961]]
['ed', [9995, 9997]]
['ed', [10084, 10086]]
['ed', [10141, 10143]]
['ed', [10267, 10269]]
['ed', [10405, 10407]]
['ed', [10569, 10571]]
['ed', [10631, 10633]]
['ed', [10641, 10643]]
['ed', [10652, 10654]]
['ed', [10787, 10789]]
['ed', [10882, 10884]]
['ed', [10912, 10914]]
['ed', [11174, 11176]]
['ed', [11242, 11244]]
['ed', [11288, 11290]]
['ed', [11365, 11367]]
['ed', [11448, 11450]]
['ed', [11568, 11570]]
