['factors', [23409, 23416]]
['factors', [23500, 23507]]
['factors', [26327, 26334]]
['factors', [38543, 38550]]
['factors', [49822, 49829]]
['factors', [50700, 50707]]
['factors', [50918, 50925]]
['central', [1030, 1037]]
['central', [7040, 7047]]
['central', [7368, 7375]]
['central', [23624, 23631]]
['central', [23952, 23959]]
['central', [36167, 36174]]
['pro\\-opiomelanocortin\\/melanocortin\\-4', [7048, 7086]]
['pro\\-opiomelanocortin\\/melanocortin\\-4', [23632, 23670]]
['receptor', [1076, 1084]]
['receptor', [4872, 4880]]
['receptor', [7084, 7092]]
['receptor', [7222, 7230]]
['receptor', [9480, 9488]]
['receptor', [9855, 9863]]
['receptor', [10289, 10297]]
['receptor', [10329, 10337]]
['receptor', [18079, 18087]]
['receptor', [21455, 21463]]
['receptor', [23668, 23676]]
['receptor', [23806, 23814]]
['receptor', [26064, 26072]]
['receptor', [26439, 26447]]
['receptor', [26873, 26881]]
['receptor', [26913, 26921]]
['receptor', [34663, 34671]]
['receptor', [38279, 38287]]
['receptor', [38655, 38663]]
['receptor', [39089, 39097]]
['receptor', [39129, 39137]]
['receptor', [46883, 46891]]
['receptor', [50286, 50294]]
['receptor', [51292, 51300]]
['pomc\\/mc4r', [7094, 7104]]
['pomc\\/mc4r', [23678, 23688]]
['angiotensin', [741, 752]]
['angiotensin', [4069, 4080]]
['angiotensin', [7191, 7202]]
['angiotensin', [9257, 9268]]
['angiotensin', [16851, 16862]]
['angiotensin', [17125, 17136]]
['angiotensin', [17214, 17225]]
['angiotensin', [17388, 17399]]
['angiotensin', [17642, 17653]]
['angiotensin', [17685, 17696]]
['angiotensin', [17995, 18006]]
['angiotensin', [18100, 18111]]
['angiotensin', [18164, 18175]]
['angiotensin', [23775, 23786]]
['angiotensin', [25841, 25852]]
['angiotensin', [33435, 33446]]
['angiotensin', [33709, 33720]]
['angiotensin', [33798, 33809]]
['angiotensin', [33972, 33983]]
['angiotensin', [34226, 34237]]
['angiotensin', [34269, 34280]]
['angiotensin', [34579, 34590]]
['angiotensin', [34684, 34695]]
['angiotensin', [34748, 34759]]
['angiotensin', [38056, 38067]]
['angiotensin', [45655, 45666]]
['angiotensin', [45929, 45940]]
['angiotensin', [46018, 46029]]
['angiotensin', [46192, 46203]]
['angiotensin', [46446, 46457]]
['angiotensin', [46489, 46500]]
['angiotensin', [46799, 46810]]
['angiotensin', [46904, 46915]]
['angiotensin', [46968, 46979]]
['angiotensin', [50749, 50760]]
['angiotensin', [51135, 51146]]
['ii', [7203, 7205]]
['ii', [16863, 16865]]
['ii', [17137, 17139]]
['ii', [17226, 17228]]
['ii', [17400, 17402]]
['ii', [17654, 17656]]
['ii', [17697, 17699]]
['ii', [18007, 18009]]
['ii', [18112, 18114]]
['ii', [18176, 18178]]
['ii', [23787, 23789]]
['ii', [33447, 33449]]
['ii', [33721, 33723]]
['ii', [33810, 33812]]
['ii', [33984, 33986]]
['ii', [34238, 34240]]
['ii', [34281, 34283]]
['ii', [34591, 34593]]
['ii', [34696, 34698]]
['ii', [34760, 34762]]
['ii', [45667, 45669]]
['ii', [45941, 45943]]
['ii', [46030, 46032]]
['ii', [46204, 46206]]
['ii', [46458, 46460]]
['ii', [46501, 46503]]
['ii', [46811, 46813]]
['ii', [46916, 46918]]
['ii', [46980, 46982]]
['ii', [50761, 50763]]
['baroreceptor', [1072, 1084]]
['baroreceptor', [7218, 7230]]
['baroreceptor', [18075, 18087]]
['baroreceptor', [23802, 23814]]
['baroreceptor', [34659, 34671]]
['baroreceptor', [46879, 46891]]
['dysfunction', [1085, 1096]]
['dysfunction', [7231, 7242]]
['dysfunction', [13907, 13918]]
['dysfunction', [16412, 16423]]
['dysfunction', [17826, 17837]]
['dysfunction', [18406, 18417]]
['dysfunction', [19077, 19088]]
['dysfunction', [19424, 19435]]
['dysfunction', [23815, 23826]]
['dysfunction', [30491, 30502]]
['dysfunction', [32996, 33007]]
['dysfunction', [34410, 34421]]
['dysfunction', [34990, 35001]]
['dysfunction', [35661, 35672]]
['dysfunction', [36008, 36019]]
['dysfunction', [42708, 42719]]
['dysfunction', [45215, 45226]]
['dysfunction', [46630, 46641]]
['dysfunction', [47211, 47222]]
['dysfunction', [47882, 47893]]
['dysfunction', [48229, 48240]]
['dysfunction', [49962, 49973]]
['dysfunction', [50783, 50794]]
['\\(', [721, 723]]
['\\(', [772, 774]]
['\\(', [1332, 1334]]
['\\(', [3828, 3830]]
['\\(', [4100, 4102]]
['\\(', [4186, 4188]]
['\\(', [7093, 7095]]
['\\(', [7243, 7245]]
['\\(', [7391, 7393]]
['\\(', [8066, 8068]]
['\\(', [9797, 9799]]
['\\(', [9865, 9867]]
['\\(', [10298, 10300]]
['\\(', [11879, 11881]]
['\\(', [23677, 23679]]
['\\(', [23827, 23829]]
['\\(', [23975, 23977]]
['\\(', [24650, 24652]]
['\\(', [26381, 26383]]
['\\(', [26449, 26451]]
['\\(', [26882, 26884]]
['\\(', [28463, 28465]]
['\\(', [36190, 36192]]
['\\(', [36865, 36867]]
['\\(', [38597, 38599]]
['\\(', [38665, 38667]]
['\\(', [39098, 39100]]
['\\(', [40679, 40681]]
['figure', [7245, 7251]]
['figure', [23829, 23835]]
['figure', [51017, 51023]]
['figure', [51024, 51030]]
['1', [1410, 1411]]
['1', [1554, 1555]]
['1', [3914, 3915]]
['1', [3919, 3920]]
['1', [3920, 3921]]
['1', [4729, 4730]]
['1', [4976, 4977]]
['1', [5147, 5148]]
['1', [5755, 5756]]
['1', [5964, 5965]]
['1', [6251, 6252]]
['1', [7252, 7253]]
['1', [7489, 7490]]
['1', [7707, 7708]]
['1', [7946, 7947]]
['1', [8535, 8536]]
['1', [13121, 13122]]
['1', [17105, 17106]]
['1', [18850, 18851]]
['1', [21312, 21313]]
['1', [21559, 21560]]
['1', [21730, 21731]]
['1', [22338, 22339]]
['1', [22547, 22548]]
['1', [22834, 22835]]
['1', [23836, 23837]]
['1', [24073, 24074]]
['1', [24291, 24292]]
['1', [24530, 24531]]
['1', [25119, 25120]]
['1', [29705, 29706]]
['1', [33689, 33690]]
['1', [35434, 35435]]
['1', [36288, 36289]]
['1', [36506, 36507]]
['1', [36745, 36746]]
['1', [37334, 37335]]
['1', [41922, 41923]]
['1', [45909, 45910]]
['1', [47655, 47656]]
['1', [51031, 51032]]
['\\)', [725, 727]]
['\\)', [777, 779]]
['\\)', [1336, 1338]]
['\\)', [3910, 3912]]
['\\)', [4105, 4107]]
['\\)', [4190, 4192]]
['\\)', [7103, 7105]]
['\\)', [7254, 7256]]
['\\)', [7395, 7397]]
['\\)', [8069, 8071]]
['\\)', [9802, 9804]]
['\\)', [9872, 9874]]
['\\)', [10303, 10305]]
['\\)', [11883, 11885]]
['\\)', [23687, 23689]]
['\\)', [23838, 23840]]
['\\)', [23979, 23981]]
['\\)', [24653, 24655]]
['\\)', [26386, 26388]]
['\\)', [26456, 26458]]
['\\)', [26887, 26889]]
['\\)', [28467, 28469]]
['\\)', [36194, 36196]]
['\\)', [36868, 36870]]
['\\)', [38602, 38604]]
['\\)', [38672, 38674]]
['\\)', [39103, 39105]]
['\\)', [40683, 40685]]
['\\.', [126, 128]]
['\\.', [330, 332]]
