genia tagger: 9797['type', [4, 8]]
['1', [29838, 29839]]
['1', [29913, 29914]]
['1', [30086, 30087]]
['1', [30100, 30101]]
['1', [30463, 30464]]
['1', [30469, 30470]]
['1', [30481, 30482]]
['1', [30505, 30506]]
['1', [30514, 30515]]
['1', [30578, 30579]]
['1', [30737, 30738]]
['1', [30964, 30965]]
['1', [31001, 31002]]
['1', [31013, 31014]]
['1', [31075, 31076]]
['1', [31171, 31172]]
['1', [31347, 31348]]
['1', [31365, 31366]]
['1', [31398, 31399]]
['1', [31463, 31464]]
['1', [31667, 31668]]
['1', [31685, 31686]]
['1', [31718, 31719]]
['1', [31783, 31784]]
['1', [31840, 31841]]
['1', [32161, 32162]]
['1', [32335, 32336]]
['1', [32808, 32809]]
['1', [32823, 32824]]
['1', [32874, 32875]]
['1', [32953, 32954]]
['1', [33326, 33327]]
['1', [33329, 33330]]
['1', [33347, 33348]]
['1', [33568, 33569]]
['1', [33608, 33609]]
['1', [33836, 33837]]
['1', [33885, 33886]]
['1', [33999, 34000]]
['1', [34006, 34007]]
['1', [34050, 34051]]
['1', [34172, 34173]]
['1', [34198, 34199]]
['1', [34277, 34278]]
['1', [34280, 34281]]
['1', [34296, 34297]]
['1', [34318, 34319]]
['1', [34330, 34331]]
['1', [34376, 34377]]
['1', [34560, 34561]]
['1', [34600, 34601]]
['1', [34710, 34711]]
['1', [34792, 34793]]
['1', [34850, 34851]]
['1', [34866, 34867]]
['1', [34888, 34889]]
['1', [34891, 34892]]
['1', [34900, 34901]]
['1', [34937, 34938]]
['1', [34945, 34946]]
['1', [34972, 34973]]
['1', [35112, 35113]]
['1', [35139, 35140]]
['1', [35157, 35158]]
['1', [35281, 35282]]
['1', [35372, 35373]]
['1', [35546, 35547]]
['1', [36019, 36020]]
['1', [36034, 36035]]
['1', [36085, 36086]]
['1', [36164, 36165]]
['1', [36537, 36538]]
['1', [36540, 36541]]
['1', [36558, 36559]]
['1', [36779, 36780]]
['1', [36819, 36820]]
['1', [37047, 37048]]
['1', [37096, 37097]]
['1', [37210, 37211]]
['1', [37217, 37218]]
['1', [37261, 37262]]
['1', [37383, 37384]]
['1', [37409, 37410]]
['1', [37488, 37489]]
['1', [37491, 37492]]
['1', [37507, 37508]]
['1', [37529, 37530]]
['1', [37541, 37542]]
['1', [37587, 37588]]
['1', [37771, 37772]]
['1', [37811, 37812]]
['1', [37921, 37922]]
['1', [38003, 38004]]
['1', [38061, 38062]]
['1', [38077, 38078]]
['1', [38099, 38100]]
['1', [38102, 38103]]
['1', [38111, 38112]]
['1', [38148, 38149]]
['1', [38156, 38157]]
['1', [38183, 38184]]
['1', [38323, 38324]]
['1', [38350, 38351]]
['1', [38368, 38369]]
['1', [38492, 38493]]
['1', [38628, 38629]]
['1', [38849, 38850]]
['1', [38860, 38861]]
['1', [39324, 39325]]
['1', [39337, 39338]]
['1', [39347, 39348]]
['1', [39372, 39373]]
['1', [39416, 39417]]
['1', [39562, 39563]]
['1', [39637, 39638]]
['1', [39810, 39811]]
['1', [39824, 39825]]
['1', [40187, 40188]]
['1', [40193, 40194]]
['1', [40205, 40206]]
['1', [40229, 40230]]
['1', [40238, 40239]]
['1', [40302, 40303]]
['1', [40461, 40462]]
['1', [40688, 40689]]
['1', [40725, 40726]]
['1', [40737, 40738]]
['1', [40799, 40800]]
['1', [40895, 40896]]
['1', [41071, 41072]]
['1', [41089, 41090]]
['1', [41122, 41123]]
['1', [41187, 41188]]
['1', [41391, 41392]]
['1', [41409, 41410]]
['1', [41442, 41443]]
['1', [41507, 41508]]
['1', [41564, 41565]]
['1', [41930, 41931]]
['1', [42151, 42152]]
['1', [42162, 42163]]
['1', [42626, 42627]]
['1', [42639, 42640]]
['1', [42649, 42650]]
['1', [42674, 42675]]
['1', [42718, 42719]]
['1', [42864, 42865]]
['1', [42939, 42940]]
['1', [43112, 43113]]
['1', [43126, 43127]]
['1', [43489, 43490]]
['1', [43495, 43496]]
['1', [43507, 43508]]
['1', [43531, 43532]]
['1', [43540, 43541]]
['1', [43604, 43605]]
['1', [43763, 43764]]
['1', [43990, 43991]]
['1', [44027, 44028]]
['1', [44039, 44040]]
['1', [44101, 44102]]
['1', [44197, 44198]]
['1', [44373, 44374]]
['1', [44391, 44392]]
['1', [44424, 44425]]
['1', [44489, 44490]]
['1', [44693, 44694]]
['1', [44711, 44712]]
['1', [44744, 44745]]
['1', [44809, 44810]]
['1', [44866, 44867]]
['1', [45477, 45478]]
['1', [45872, 45873]]
['1', [46021, 46022]]
['1', [46259, 46260]]
['1', [46479, 46480]]
['1', [46983, 46984]]
['1', [47277, 47278]]
['1', [47653, 47654]]
['1', [48488, 48489]]
['1', [48491, 48492]]
['1', [48509, 48510]]
['1', [48610, 48611]]
['1', [48660, 48661]]
['1', [48663, 48664]]
['1', [48765, 48766]]
['1', [48825, 48826]]
['1', [48860, 48861]]
['1', [48870, 48871]]
['1', [49095, 49096]]
['1', [49129, 49130]]
['1', [49297, 49298]]
['1', [49469, 49470]]
['1', [49635, 49636]]
['1', [49817, 49818]]
['1', [49936, 49937]]
['1', [50048, 50049]]
['1', [50194, 50195]]
['1', [50360, 50361]]
['1', [50498, 50499]]
['1', [50801, 50802]]
['1', [50926, 50927]]
['1', [51600, 51601]]
['1', [51628, 51629]]
['1', [51631, 51632]]
['1', [51670, 51671]]
['1', [51775, 51776]]
['1', [51870, 51871]]
['1', [52557, 52558]]
['1', [53489, 53490]]
['1', [53492, 53493]]
['1', [53531, 53532]]
['1', [54014, 54015]]
['1', [54456, 54457]]
['1', [54669, 54670]]
['1', [55278, 55279]]
['1', [55642, 55643]]
['1', [56037, 56038]]
['1', [56186, 56187]]
['1', [56424, 56425]]
['1', [56644, 56645]]
['1', [57148, 57149]]
['1', [57442, 57443]]
['1', [57818, 57819]]
['1', [58653, 58654]]
['1', [58656, 58657]]
['1', [58674, 58675]]
['1', [58775, 58776]]
['1', [58825, 58826]]
['1', [58828, 58829]]
['1', [58930, 58931]]
['1', [58990, 58991]]
['1', [59025, 59026]]
['1', [59035, 59036]]
['1', [59260, 59261]]
['1', [59294, 59295]]
['1', [59462, 59463]]
['1', [59634, 59635]]
['1', [59800, 59801]]
