['tumor', [34123, 34128]]
['tumor', [34241, 34246]]
['tumor', [35241, 35246]]
['tumor', [35397, 35402]]
['tumor', [37403, 37408]]
['tumor', [37447, 37452]]
['tumor', [38153, 38158]]
['tumor', [39131, 39136]]
['tumor', [39854, 39859]]
['tumor', [40484, 40489]]
['tumor', [40609, 40614]]
['tumor', [40653, 40658]]
['tumor', [40782, 40787]]
['tumor', [41216, 41221]]
['tumor', [42390, 42395]]
['tumor', [42666, 42671]]
['tumor', [44106, 44111]]
['tumor', [44664, 44669]]
['tumor', [45272, 45277]]
['tumor', [45407, 45412]]
['tumor', [46905, 46910]]
['tumor', [47458, 47463]]
['tumor', [48855, 48860]]
['tumor', [48953, 48958]]
['tumor', [49037, 49042]]
['tumor', [49271, 49276]]
['tumor', [49326, 49331]]
['tumor', [50477, 50482]]
['tumor', [50559, 50564]]
['tumor', [50634, 50639]]
['tumor', [50696, 50701]]
['tumor', [50779, 50784]]
['tumor', [51224, 51229]]
['tumor', [51391, 51396]]
['tumor', [51598, 51603]]
['tumor', [51697, 51702]]
['tumor', [51864, 51869]]
['tumor', [51950, 51955]]
['tumor', [52104, 52109]]
['tumor', [52275, 52280]]
['tumor', [54435, 54440]]
['tumor', [54993, 54998]]
['tumor', [55602, 55607]]
['tumor', [55737, 55742]]
['tumor', [57235, 57240]]
['tumor', [57788, 57793]]
['tumor', [59186, 59191]]
['tumor', [59284, 59289]]
['tumor', [59368, 59373]]
['tumor', [59602, 59607]]
['tumor', [59657, 59662]]
['tumor', [60809, 60814]]
['tumor', [60891, 60896]]
['tumor', [60966, 60971]]
['tumor', [61028, 61033]]
['tumor', [61111, 61116]]
['tumor', [61556, 61561]]
['tumor', [61723, 61728]]
['tumor', [61930, 61935]]
['tumor', [62029, 62034]]
['tumor', [62196, 62201]]
['tumor', [62282, 62287]]
['tumor', [62436, 62441]]
['tumor', [62607, 62612]]
['fragments', [6378, 6387]]
['fragments', [9382, 9391]]
['fragments', [10030, 10039]]
['fragments', [23670, 23679]]
['fragments', [26675, 26684]]
['fragments', [27323, 27332]]
