['pain', [65755, 65759]]
['pain', [65844, 65848]]
['pain', [65858, 65862]]
['pain', [66138, 66142]]
['pain', [66380, 66384]]
['pain', [66877, 66881]]
['pain', [66911, 66915]]
['pain', [66942, 66946]]
['pain', [67015, 67019]]
['pain', [67074, 67078]]
['pain', [67391, 67395]]
['pain', [67555, 67559]]
['pain', [67687, 67691]]
['pain', [67874, 67878]]
['pain', [67946, 67950]]
['pain', [68092, 68096]]
['pain', [68141, 68145]]
['pain', [68916, 68920]]
['pain', [69452, 69456]]
['pain', [69922, 69926]]
['pain', [70060, 70064]]
['pain', [70194, 70198]]
['pain', [70558, 70562]]
['pain', [70634, 70638]]
['pain', [70721, 70725]]
['pain', [71142, 71146]]
['pain', [71195, 71199]]
['pain', [71325, 71329]]
['pain', [71514, 71518]]
['pain', [71864, 71868]]
['pain', [72027, 72031]]
['pain', [72112, 72116]]
['pain', [72226, 72230]]
['pain', [72418, 72422]]
['pain', [72444, 72448]]
['pain', [72521, 72525]]
['pain', [72546, 72550]]
['pain', [72594, 72598]]
['pain', [72781, 72785]]
['pain', [72936, 72940]]
['pain', [73110, 73114]]
['pain', [73196, 73200]]
['pain', [74756, 74760]]
['pain', [74845, 74849]]
['pain', [74859, 74863]]
['pain', [75139, 75143]]
['pain', [75381, 75385]]
['pain', [75878, 75882]]
['pain', [75912, 75916]]
['pain', [75943, 75947]]
['pain', [76016, 76020]]
['pain', [76075, 76079]]
['pain', [76392, 76396]]
['pain', [76556, 76560]]
['pain', [76688, 76692]]
['pain', [76875, 76879]]
['pain', [76947, 76951]]
['pain', [77093, 77097]]
['pain', [77142, 77146]]
['pain', [77917, 77921]]
['pain', [78453, 78457]]
['pain', [78923, 78927]]
['pain', [79061, 79065]]
['pain', [79195, 79199]]
['pain', [79615, 79619]]
['pain', [79792, 79796]]
['pain', [79813, 79817]]
['pain', [81552, 81556]]
['pain', [81626, 81630]]
['pain', [81802, 81806]]
['pain', [81917, 81921]]
['pain', [82194, 82198]]
['pain', [82381, 82385]]
['pain', [82497, 82501]]
['pain', [83290, 83294]]
['\xe2\x80\x9ctrouble', [11020, 11030]]
['\xe2\x80\x9ctrouble', [17618, 17628]]
['breathing\xe2\x80\x9d', [11031, 11043]]
['breathing\xe2\x80\x9d', [17629, 17641]]
['range', [11362, 11367]]
['range', [11931, 11936]]
['range', [17960, 17965]]
['range', [18529, 18534]]
['0\xe2\x80\x9336', [11368, 11374]]
['0\xe2\x80\x9336', [17966, 17972]]
['\xe2\x80\x9d', [10219, 10222]]
['\xe2\x80\x9d', [10276, 10279]]
['\xe2\x80\x9d', [11012, 11015]]
['\xe2\x80\x9d', [11040, 11043]]
['\xe2\x80\x9d', [12358, 12361]]
['\xe2\x80\x9d', [16817, 16820]]
['\xe2\x80\x9d', [16874, 16877]]
['\xe2\x80\x9d', [17610, 17613]]
['\xe2\x80\x9d', [17638, 17641]]
['\xe2\x80\x9d', [18956, 18959]]
['\xe2\x80\x9d', [64734, 64737]]
['\xe2\x80\x9d', [64852, 64855]]
['\xe2\x80\x9d', [66915, 66918]]
['\xe2\x80\x9d', [66968, 66971]]
['\xe2\x80\x9d', [67040, 67043]]
['\xe2\x80\x9d', [68367, 68370]]
['\xe2\x80\x9d', [73735, 73738]]
['\xe2\x80\x9d', [73853, 73856]]
['\xe2\x80\x9d', [75916, 75919]]
['\xe2\x80\x9d', [75969, 75972]]
['\xe2\x80\x9d', [76041, 76044]]
['\xe2\x80\x9d', [77368, 77371]]
['cancer', [82, 88]]
['cancer', [112, 118]]
['cancer', [236, 242]]
['cancer', [394, 400]]
['cancer', [714, 720]]
['cancer', [1424, 1430]]
['cancer', [1549, 1555]]
['cancer', [1678, 1684]]
['cancer', [1774, 1780]]
['cancer', [2027, 2033]]
['cancer', [2069, 2075]]
['cancer', [2121, 2127]]
['cancer', [2715, 2721]]
['cancer', [2730, 2736]]
['cancer', [2942, 2948]]
['cancer', [3142, 3148]]
['cancer', [3230, 3236]]
['cancer', [3322, 3328]]
['cancer', [3423, 3429]]
['cancer', [3573, 3579]]
['cancer', [3603, 3609]]
['cancer', [3663, 3669]]
['cancer', [3808, 3814]]
['cancer', [5012, 5018]]
['cancer', [5099, 5105]]
['cancer', [6303, 6309]]
['cancer', [6421, 6427]]
['cancer', [6482, 6488]]
['cancer', [6652, 6658]]
['cancer', [6689, 6695]]
['cancer', [7314, 7320]]
['cancer', [9347, 9353]]
['cancer', [9930, 9936]]
['cancer', [10345, 10351]]
['cancer', [10706, 10712]]
['cancer', [10825, 10831]]
['cancer', [12438, 12444]]
['cancer', [12607, 12613]]
['cancer', [13677, 13683]]
['cancer', [13909, 13915]]
['cancer', [15943, 15949]]
['cancer', [16528, 16534]]
['cancer', [16943, 16949]]
['cancer', [17304, 17310]]
['cancer', [17423, 17429]]
['cancer', [19036, 19042]]
['cancer', [19205, 19211]]
['cancer', [20276, 20282]]
['cancer', [20455, 20461]]
['cancer', [21855, 21861]]
['cancer', [22311, 22317]]
['cancer', [23769, 23775]]
['cancer', [23817, 23823]]
['cancer', [24110, 24116]]
['cancer', [24146, 24152]]
['cancer', [28611, 28617]]
['cancer', [30011, 30017]]
['cancer', [30467, 30473]]
['cancer', [31925, 31931]]
['cancer', [31973, 31979]]
['cancer', [32266, 32272]]
['cancer', [32302, 32308]]
['cancer', [36756, 36762]]
['cancer', [38156, 38162]]
['cancer', [38612, 38618]]
['cancer', [40070, 40076]]
['cancer', [40118, 40124]]
['cancer', [40170, 40176]]
['cancer', [41570, 41576]]
['cancer', [42026, 42032]]
['cancer', [43484, 43490]]
['cancer', [43532, 43538]]
['cancer', [43826, 43832]]
['cancer', [43862, 43868]]
['cancer', [48558, 48564]]
['cancer', [48594, 48600]]
['cancer', [61614, 61620]]
['cancer', [61764, 61770]]
['cancer', [62911, 62917]]
['cancer', [63161, 63167]]
['cancer', [63303, 63309]]
['cancer', [66111, 66117]]
['cancer', [66870, 66876]]
['cancer', [67105, 67111]]
['cancer', [67255, 67261]]
['cancer', [67384, 67390]]
['cancer', [67844, 67850]]
['cancer', [68946, 68952]]
['cancer', [69129, 69135]]
['cancer', [69671, 69677]]
['cancer', [69983, 69989]]
['cancer', [70615, 70621]]
['cancer', [70765, 70771]]
['cancer', [71912, 71918]]
['cancer', [72162, 72168]]
['cancer', [72304, 72310]]
['cancer', [75112, 75118]]
['cancer', [75871, 75877]]
['cancer', [76106, 76112]]
['cancer', [76256, 76262]]
['cancer', [76385, 76391]]
['cancer', [76845, 76851]]
['cancer', [77947, 77953]]
['cancer', [78130, 78136]]
['cancer', [78672, 78678]]
['cancer', [78984, 78990]]
['cancer', [79553, 79559]]
['cancer', [79938, 79944]]
['cancer', [80048, 80054]]
['cancer', [80162, 80168]]
['cancer', [80915, 80921]]
['cancer', [81056, 81062]]
['cancer', [81910, 81916]]
['cancer', [81986, 81992]]
['cancer', [82374, 82380]]
['survivors', [55, 64]]
['survivors', [209, 218]]
['survivors', [401, 410]]
['survivors', [444, 453]]
['survivors', [822, 831]]
['survivors', [942, 951]]
['survivors', [1431, 1440]]
['survivors', [1685, 1694]]
['survivors', [2034, 2043]]
['survivors', [2915, 2924]]
['survivors', [4538, 4547]]
['survivors', [4985, 4994]]
['survivors', [5829, 5838]]
['survivors', [6276, 6285]]
['survivors', [6455, 6464]]
['survivors', [6545, 6554]]
['survivors', [6659, 6668]]
['survivors', [7232, 7241]]
['survivors', [7246, 7255]]
['survivors', [7602, 7611]]
['survivors', [7725, 7734]]
['survivors', [8254, 8263]]
['survivors', [8868, 8877]]
['survivors', [9009, 9018]]
['survivors', [9166, 9175]]
['survivors', [12614, 12623]]
['survivors', [13827, 13836]]
['survivors', [13841, 13850]]
['survivors', [14197, 14206]]
['survivors', [14320, 14329]]
['survivors', [14849, 14858]]
['survivors', [15463, 15472]]
['survivors', [15605, 15614]]
['survivors', [15762, 15771]]
['survivors', [19212, 19221]]
['survivors', [20462, 20471]]
['survivors', [20874, 20883]]
['survivors', [21079, 21088]]
['survivors', [21579, 21588]]
['survivors', [22860, 22869]]
['survivors', [23824, 23833]]
['survivors', [24153, 24162]]
['survivors', [27862, 27871]]
['survivors', [27897, 27906]]
['survivors', [28618, 28627]]
['survivors', [29030, 29039]]
['survivors', [29235, 29244]]
['survivors', [29735, 29744]]
['survivors', [31016, 31025]]
['survivors', [31980, 31989]]
['survivors', [32309, 32318]]
['survivors', [36018, 36027]]
['survivors', [36053, 36062]]
['survivors', [36763, 36772]]
['survivors', [37175, 37184]]
['survivors', [37380, 37389]]
['survivors', [37880, 37889]]
['survivors', [39161, 39170]]
['survivors', [40125, 40134]]
['survivors', [40177, 40186]]
['survivors', [40589, 40598]]
['survivors', [40794, 40803]]
['survivors', [41294, 41303]]
['survivors', [42575, 42584]]
['survivors', [43539, 43548]]
['survivors', [43869, 43878]]
['survivors', [47578, 47587]]
['survivors', [47613, 47622]]
['survivors', [48601, 48610]]
['survivors', [52310, 52319]]
['survivors', [52345, 52354]]
['survivors', [58099, 58108]]
['survivors', [58134, 58143]]
['survivors', [60762, 60771]]
['survivors', [60797, 60806]]
['survivors', [61581, 61590]]
['survivors', [62060, 62069]]
['survivors', [62471, 62480]]
['survivors', [66163, 66172]]
['survivors', [67851, 67860]]
['survivors', [69015, 69024]]
['survivors', [69956, 69965]]
['survivors', [70082, 70091]]
['survivors', [70265, 70274]]
['survivors', [70582, 70591]]
['survivors', [71061, 71070]]
['survivors', [71472, 71481]]
['survivors', [75164, 75173]]
['survivors', [76852, 76861]]
['survivors', [78016, 78025]]
['survivors', [78957, 78966]]
['survivors', [79083, 79092]]
['survivors', [79266, 79275]]
['survivors', [79526, 79535]]
['survivors', [81200, 81209]]
['survivors', [81993, 82002]]
['spss', [13259, 13263]]
